student_id,semester,previous_gpa,attendance_pct,internal_1,internal_2,assignment_avg,assignment_completion_pct,quiz_avg,study_hours_weekly,class_participation,late_submissions,final_score,risk_level,edge_case_type
STU0001,4,6.13,64.9,60.5,56.8,62.3,66.0,51.3,10.4,6.1,1,41.5,High,normal
STU0002,4,7.19,52.5,55.7,66.4,68.5,67.7,45.2,5.1,2.7,6,58.9,Medium,normal
STU0003,5,6.4,52.1,53.8,55.9,63.4,65.4,32.3,12.0,2.3,0,48.4,Medium,normal
STU0004,6,6.86,74.9,64.1,42.2,77.8,52.2,52.7,10.5,4.8,5,54.5,Medium,normal
STU0005,4,9.26,74.4,82.3,64.9,78.2,72.3,71.1,9.9,9.3,4,70.7,Low,normal
STU0006,6,8.58,88.1,79.4,82.5,95.0,99.2,77.0,16.4,4.1,6,71.4,Low,normal
STU0007,4,8.86,90.4,75.24183702021563,79.2731811674558,74.0,88.8,86.33106496204431,0.4934006337980943,0.571977147140382,2,91.4,Low,low_engagement_high_performance
STU0008,3,3.35,73.9,39.4,20.9,47.9,66.2,18.6,5.2,4.6,5,27.9,High,normal
STU0009,3,5.72,74.4,56.3,37.9,69.8,75.8,48.9,13.9,8.1,0,67.6,Low,normal
STU0010,3,4.97,72.6,49.3,41.0,44.3,68.4,,13.6,2.9,2,43.1,High,normal
STU0011,4,7.92,77.3,69.0,89.7,81.5,72.7,88.1,11.9,7.5,4,72.2,Low,normal
STU0012,4,7.3,59.3,54.6,48.5,61.2,46.4,37.9,9.8,1.4,4,60.0,Low,normal
STU0013,5,5.0,59.0,44.0,39.7,34.1,52.6,24.9,3.5,4.8,5,37.1,High,normal
STU0014,5,7.58,87.3,67.9,65.2,92.9,81.3,76.5,14.0,6.4,0,73.5,Low,normal
STU0015,3,8.34,73.1,56.5,47.5,58.6,76.7,57.8,11.2,7.5,1,65.8,Low,normal
STU0016,3,9.86,64.7,100.0,100.0,100.0,95.4,69.6,18.9,6.7,3,88.8,Low,normal
STU0017,4,6.71,73.4,47.4,45.4,80.8,75.8,68.0,12.7,5.5,5,47.2,Medium,normal
STU0018,5,6.07,77.5,62.6,54.6,57.0,82.0,,6.9,4.8,2,60.2,Low,normal
STU0019,3,7.64,83.7,56.2,60.5,72.3,67.9,56.2,16.9,4.6,3,75.0,Low,normal
STU0020,3,7.0,66.2,77.4,71.9,54.6,56.7,47.2,12.2,3.9,3,59.3,Medium,normal
STU0021,6,8.78,79.4,54.4,51.4,69.1,56.1,59.6,13.9,5.9,3,68.3,Low,normal
STU0022,6,10.0,100.0,100.0,98.8,88.5,72.1,82.0,14.3,4.5,1,100.0,Low,normal
STU0023,3,6.6,93.7,62.3,52.6,83.3,72.0,35.4,,3.0,2,62.3,Low,normal
STU0024,4,5.96,70.9,50.0,44.5,82.0,76.7,46.5,11.4,2.9,1,56.6,Medium,normal
STU0025,4,8.89,65.0,81.7,40.5,82.0,78.5,96.3,18.9,8.6,1,77.0,Low,normal
STU0026,6,7.31,86.5,60.7,76.3,48.7,57.1,38.6,13.4,4.3,7,58.7,Medium,normal
STU0027,5,9.47,98.7,71.3,83.3,75.0,57.8,68.3,16.8,5.4,1,76.2,Low,normal
STU0028,3,7.8,73.2,61.9,57.1,67.4,80.5,50.8,13.5,6.5,2,59.9,Medium,normal
STU0029,5,6.31,75.6,66.8,49.3,60.2,82.5,62.6,16.4,6.1,0,66.4,Low,normal
STU0030,4,7.75,97.6,58.3,64.6,70.5,79.2,84.8,12.3,7.8,0,81.4,Low,normal
STU0031,4,7.06,73.3,56.5,66.2,86.6,71.3,71.5,,5.8,3,75.7,Low,normal
STU0032,4,9.35,86.9,100.0,69.0,88.9,88.6,62.8,15.8,6.4,0,83.0,Low,normal
STU0033,4,8.64,100.0,80.5,87.8,86.7,92.1,91.2,21.9,9.2,2,100.0,Low,normal
STU0034,4,6.77,48.5436685419461,75.7144521902382,85.52832722073352,97.09395164717233,46.5,68.4,8.1,3.5,5,79.3,Low,low_attendance_high_performance
STU0035,3,7.35,42.3,50.4,36.9,38.3,35.1,57.3,7.1,1.8,5,50.3,Medium,normal
